	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	6.524	2.977	4.372	1.425	4.697	13.805	2.156	0.001	3.497
a1_mu	0.022	0.026	0.037	0.0	0.0	0.088	2.002	0.001	45.039
sigma[1]	1.1	0.008	1.25	0.0293	0.774	3.85	24576.0	9.51	1.0
sigma[2]	1.11	0.00856	1.3	0.0271	0.766	3.96	22918.0	8.87	1.0
sigma_pr[1]	1.0		2.5e-14	1.0	1.0	1.0			
sigma_pr[2]	1.0		2.5e-14	1.0	1.0	1.0			
sigma_pr[3]	1.1	0.008	1.25	0.0293	0.774	3.85	24576.0	9.51	1.0
sigma_pr[4]	1.11	0.00856	1.3	0.0271	0.766	3.96	22918.0	8.87	1.0
b1[1]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[2]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[3]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[4]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[5]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[6]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[7]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[8]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[9]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[10]	26.3	2.98	4.37	21.2	24.5	33.6	2.16	0.000835	3.5
b1[11]	12.9	2.98	4.37	7.82	11.1	20.2	2.16	0.000835	3.5
b1[12]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
b1[13]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[14]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[15]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[16]	21.9	2.98	4.37	16.8	20.0	29.1	2.16	0.000835	3.5
b1[17]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[18]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[19]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[20]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[21]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[22]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[23]	21.9	2.98	4.37	16.8	20.0	29.1	2.16	0.000835	3.5
b1[24]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[25]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[26]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
b1[27]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[28]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[29]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[30]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[31]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[32]	21.9	2.98	4.37	16.8	20.0	29.1	2.16	0.000835	3.5
b1[33]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[34]	12.9	2.98	4.37	7.82	11.1	20.2	2.16	0.000835	3.5
b1[35]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[36]	28.6	2.98	4.37	23.5	26.7	35.8	2.16	0.000835	3.5
b1[37]	21.9	2.98	4.37	16.8	20.0	29.1	2.16	0.000835	3.5
b1[38]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[39]	26.3	2.98	4.37	21.2	24.5	33.6	2.16	0.000835	3.5
b1[40]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[41]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[42]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[43]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[44]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[45]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[46]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[47]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[48]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[49]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[50]	8.45	2.98	4.37	3.35	6.62	15.7	2.16	0.000835	3.5
b1[51]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[52]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[53]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[54]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[55]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[56]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[57]	8.45	2.98	4.37	3.35	6.62	15.7	2.16	0.000835	3.5
b1[58]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[59]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[60]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[61]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[62]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[63]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[64]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[65]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[66]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[67]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[68]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[69]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[70]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
b1[71]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[72]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[73]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[74]	26.3	2.98	4.37	21.2	24.5	33.6	2.16	0.000835	3.5
b1[75]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[76]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
b1[77]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[78]	8.45	2.98	4.37	3.35	6.62	15.7	2.16	0.000835	3.5
b1[79]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[80]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[81]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[82]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[83]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[84]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[85]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[86]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[87]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[88]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[89]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[90]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[91]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[92]	8.45	2.98	4.37	3.35	6.62	15.7	2.16	0.000835	3.5
b1[93]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[94]	12.9	2.98	4.37	7.82	11.1	20.2	2.16	0.000835	3.5
b1[95]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[96]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[97]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[98]	-2.73	2.98	4.37	-7.83	-4.55	4.55	2.16	0.000835	3.5
b1[99]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[100]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[101]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[102]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[103]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[104]	6.21	2.98	4.37	1.11	4.38	13.5	2.16	0.000835	3.5
b1[105]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[106]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[107]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[108]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[109]	-0.492	2.98	4.37	-5.59	-2.32	6.79	2.16	0.000835	3.5
b1[110]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[111]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[112]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[113]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[114]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[115]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[116]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[117]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
b1[118]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[119]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[120]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[121]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[122]	12.9	2.98	4.37	7.82	11.1	20.2	2.16	0.000835	3.5
b1[123]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[124]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[125]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[126]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[127]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[128]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[129]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[130]	1.74	2.98	4.37	-3.36	-0.0845	9.02	2.16	0.000835	3.5
b1[131]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[132]	12.9	2.98	4.37	7.82	11.1	20.2	2.16	0.000835	3.5
b1[133]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[134]	-7.2	2.98	4.37	-12.3	-9.02	0.0852	2.16	0.000835	3.5
b1[135]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[136]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[137]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[138]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[139]	19.6	2.98	4.37	14.5	17.8	26.9	2.16	0.000835	3.5
b1[140]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[141]	-4.96	2.98	4.37	-10.1	-6.79	2.32	2.16	0.000835	3.5
b1[142]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[143]	10.7	2.98	4.37	5.58	8.85	18.0	2.16	0.000835	3.5
b1[144]	3.98	2.98	4.37	-1.12	2.15	11.3	2.16	0.000835	3.5
b1[145]	8.45	2.98	4.37	3.35	6.62	15.7	2.16	0.000835	3.5
b1[146]	26.3	2.98	4.37	21.2	24.5	33.6	2.16	0.000835	3.5
b1[147]	21.9	2.98	4.37	16.8	20.0	29.1	2.16	0.000835	3.5
b1[148]	24.1	2.98	4.37	19.0	22.3	31.4	2.16	0.000835	3.5
b1[149]	17.4	2.98	4.37	12.3	15.6	24.7	2.16	0.000835	3.5
b1[150]	15.1	2.98	4.37	10.0	13.3	22.4	2.16	0.000835	3.5
a1[1]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[2]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[3]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[4]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[5]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[6]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[7]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[8]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[9]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[10]	0.0643	0.0118	0.0173	0.0338	0.0712	0.0844	2.15	0.000833	3.55
